name,type,description,link,contact_email,status,discovered_date,drafted_date,notes
The Bible Study Podcast,podcast,Hosted by The Bible Study Podcast — Christianity,https://podcasts.apple.com/us/podcast/the-bible-study-podcast/id203856704?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Men's Bible Study Podcast,podcast,Hosted by Parkside Church — Christianity,https://podcasts.apple.com/us/podcast/mens-bible-study-podcast/id1437165193?uo=4,,drafted,2026-09-25,2026-09-25,Could not verify — search returned an unrelated/different show. Recommend Collin verify this listing is even still active before pursuing. | draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
The Apostolic Bible Study Podcast,podcast,Hosted by Apostolic Bible Study Podcast — Christianity,https://podcasts.apple.com/us/podcast/the-apostolic-bible-study-podcast/id1695016098?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
The Bible Study Podcast,podcast,Hosted by The Bible Study Podcast — Christianity,https://podcasts.apple.com/us/podcast/the-bible-study-podcast/id1584582942?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
The Jeff Cavins Show (Your Catholic Bible Study Podcast),podcast,Hosted by Ascension — Christianity,https://podcasts.apple.com/us/podcast/the-jeff-cavins-show-your-catholic-bible-study-podcast/id1201282412?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Daily Bible Study Podcast,podcast,Hosted by Daily Bible Study — Christianity,https://podcasts.apple.com/us/podcast/daily-bible-study-podcast/id1482413528?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Arthur's Bible Study Podcast | Weekly Christian Bible Study & Devotional,podcast,Hosted by Arthur Suggs — Christianity,https://podcasts.apple.com/us/podcast/arthurs-bible-study-podcast-weekly-christian-bible/id1550450874?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Bible Study Podcasts,podcast,Hosted by Pastor Toby Logsdon — Christianity,https://podcasts.apple.com/us/podcast/bible-study-podcasts/id1668722360?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
This Is Not a Weapon: A Bible Study Podcast,podcast,Hosted by Bramble Jam Podcast Network — Christianity,https://podcasts.apple.com/us/podcast/this-is-not-a-weapon-a-bible-study-podcast/id1896901916?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Bible Study Podcast,podcast,"Hosted by Darren Rouanzoin, Angela Halili — Christianity",https://podcasts.apple.com/us/podcast/bible-study-podcast/id1868817334?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Not Your Momma's Bible Study Podcast,podcast,Hosted by Chrystan Ferrell — Christianity,https://podcasts.apple.com/us/podcast/not-your-mommas-bible-study-podcast/id1627769717?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Verse by Verse Bible Study Podcast with Randy Duncan,podcast,Hosted by Randy Duncan — Christianity,https://podcasts.apple.com/us/podcast/verse-by-verse-bible-study-podcast-with-randy-duncan/id1539276205?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Two sisters & a cup of tea (Bible Study Podcast),podcast,Hosted by Felicity Carswell & Sarah Dargue — Christianity,https://podcasts.apple.com/us/podcast/two-sisters-a-cup-of-tea-bible-study-podcast/id1544972815?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
True Believers Bible Study Podcast,podcast,Hosted by True Believers Bible Study — Christianity,https://podcasts.apple.com/us/podcast/true-believers-bible-study-podcast/id1808070464?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
The Bible Study Podcasts,podcast,Hosted by Danny Pate — Christianity,https://podcasts.apple.com/us/podcast/the-bible-study-podcasts/id1572021916?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Word of God Christian Center Men's Devotional,podcast,Hosted by WGCC Men — Christianity,https://podcasts.apple.com/us/podcast/word-of-god-christian-center-mens-devotional/id1879380863?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Men's Morning Devotional,podcast,Hosted by Metro Life Church — Christianity,https://podcasts.apple.com/us/podcast/mens-morning-devotional/id6783494571?uo=4,,drafted,2026-09-25,2026-09-25,"No public email — only a contact FORM at mensmorningdevotional.com/contact/. Active, professional (Pastor Steve Alessi + sons, Metro Life Church), daily content through Sept 2026. Strong topical fit — worth using the form manually. | draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md"
Men's Morning Devotional,podcast,Hosted by Metro Life Church — Christianity,https://podcasts.apple.com/us/podcast/mens-morning-devotional/id6783493890?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
Kingdom Warrior Devotional hosted by Doug Dickerson,podcast,Hosted by Kingdom Warrior Men's Book — Christianity,https://podcasts.apple.com/us/podcast/kingdom-warrior-devotional-hosted-by-doug-dickerson/id1562705415?uo=4,,drafted,2026-09-25,2026-09-25,"No usable contact found — searches returned unrelated 'kingdom warrior' content, not this specific show. | draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md"
Daily Strength: A 365-Day Devotional for Men,podcast,Hosted by Crossway — Christianity,https://podcasts.apple.com/us/podcast/daily-strength-a-365-day-devotional-for-men/id1660600360?uo=4,lharvey@crossway.org,drafted,2026-09-25,2026-09-25,"Crossway press contact (Lauren Harvey) — general publisher contact, not host-specific. Active, daily, 369 episodes. | draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-lharvey-crossway-org.md"
The Sword & Shield: Devotionals for Men,podcast,Hosted by Robert Noland — Religion & Spirituality,https://podcasts.apple.com/us/podcast/the-sword-shield-devotionals-for-men/id1468421894?uo=4,,drafted,2026-09-25,2026-09-25,draft: /home/runner/work/Selahbot/Selahbot/outreach/drafts/2026-09-25-.md
